time,property,state
977,9,7
978,8.049845,7
979,7.5599995,7
980,7.5599995,7
981,7.5942073,7
982,7.42159,7
983,7.289444,7
984,7.42159,7
985,7.9526596,7
986,7.928178,7
987,7.208994,7
988,6.519877,6
989,5.04,6
990,4.0249224,5
991,4.198285,5
992,4.510787,5
993,5.0528407,6
994,5.04,6
995,5.8048253,6
996,6.151683,6
997,6.830519,7
998,7.289444,7
999,7.289444,7
1000,7.5685663,7
1001,6.792466,7
1002,5.1919937,6
1003,2.3051248,1
1004,1.9386592,1
1005,4.452954,5
1006,6.0347,6
1007,6.379216,6
1008,6.5693827,6
1009,6.5693827,6
1010,6.489992,6
1011,6.5693827,6
1012,6.28713,6
1013,7.172949,7
1014,6.9527545,7
1015,6.830519,7
1016,6.6185193,6
1017,6.151683,6
1018,6.638072,6
1019,5.8603754,6
1020,4.5536795,5
1021,2.5455842,2
1022,0.35999998,1
1023,1.609969,1
1024,3.2399998,3
1025,2.8799999,3
1026,2.9024127,3
1027,1.835647,1
1028,1.4399999,1
1029,2.3051248,1
1030,2.5455842,2
1031,0.71999997,1
1032,3.4152596,4
1033,4.0249224,5
1034,5.634891,6
1035,4.3498964,5
1036,3.7585104,4
1037,3.319036,3
1038,2.5455842,2
1039,0.8049845,1
1040,0.35999998,1
1041,0.35999998,1
1042,1.8,1
1043,2.4149535,1
1044,2.9024127,3
1045,3.396233,4
1046,3.219938,3
1047,3.5455887,4
1048,3.563818,4
1049,4.6102495,5
1050,4.6938257,5
1051,3.219938,3
1052,2.1897945,1
1053,1.835647,1
1054,1.2979984,1
1055,2.2768397,1
1056,4.68,5
1057,6.12,6
1058,7.2,7
1059,7.5599995,7
1060,7.5942073,7
1061,8.766573,7
1062,9.107359,7
1063,9.107359,7
1064,9.531505,7
1065,9.178235,7
1066,8.647496,7
1067,8.707238,7
1068,10.041354,8
1069,10.182337,8
1070,10.538843,8
1071,10.105681,8
1072,7.6367526,7
1073,7.072878,7
1074,7.7879906,7
1075,8.373386,7
1076,9.028754,7
1077,10.594036,8
1078,8.891344,7
1079,9.9571085,7
1080,9.449572,7
1081,9.6932955,7
1082,10.137692,8
1083,9.605998,7
1084,7.2,7
1085,8.4042845,7
1086,9.726665,7
1087,9.72,7
1088,9.028754,7
1089,8.669949,7
1090,9.007196,7
1091,9.746631,7
1092,10.440001,8
1093,9.72,7
1094,9.422101,7
1095,7.9932976,7
1096,9,7
1097,9,7
1098,7.5599995,7
1099,7.072878,7
1100,7.172949,7
1101,6.6185193,6
1102,5.2416787,6
1103,5.0528407,6
1104,5.0911684,6
1105,5.1544156,6
1106,5.3517847,6
1107,6.28713,6
1108,5.4477882,6
1109,6.2145634,6
1110,6.489992,6
1111,6.0347,6
1112,6.0347,6
1113,6.830519,7
1114,7.5170207,7
1115,7.5170207,7
1116,7.289444,7
1117,6.6185193,6
1118,6.763786,7
1119,7.729527,7
1120,7.7043357,7
1121,8.435069,7
1122,6.8777895,7
1123,5.3517847,6
1124,2.5959969,2
1125,2.9024127,3
1126,6.2145634,6
1127,7.5942073,7
1128,8.311245,7
1129,9.746631,7
